Réservation au nom de ;Domaines ;Ressource  ;Description ;Heure - Durée ;Type;Dernière mise à jour
mono2;Enregistreur Numerique;Tascam mini n°7;Dr-05x;vendredi 17 septembre 2021 11:00:00 - 6 heure(s) ;Emprunt ;lundi 13 septembre 202114:22:02
mono2;Camescope;Camescope HD n°1;Panasonic HC-VXF1;vendredi 17 septembre 2021 11:00:00 - 6 heure(s) ;Emprunt ;lundi 13 septembre 202114:22:41
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°1 ;Dell Latitude 3410;lundi 13 septembre 2021 15:00:00 - 4 jour(s) et 2 heure(s) ;Cours;lundi 13 septembre 202116:04:16
mono2;Enregistreur Numerique;Tascam mini n°8;Dr-05x;vendredi 17 septembre 2021 11:00:00 - 6 heure(s) ;Emprunt ;vendredi 17 septembre 202110:23:57
mono5;Videoprojecteur;VP 02;Epson EB-W29;mercredi 15 septembre 2021 16:00:00 - 2 jour(s) et 2 heure(s) ;Emprunt ;mercredi 15 septembre 202116:03:44
mono3;Camescope;Camescope HD n°9 ;Panasonic HC-V770 ;mercredi 15 septembre 2021 10:00:00 - 5 jour(s) et 30 minute(s) ;Emprunt ;mercredi 15 septembre 202109:41:40
mono8;Videoprojecteur;VP 02;Epson EB-W29;lundi 20 septembre 2021 11:00:00 - 7 heure(s) ;Cours;lundi 20 septembre 202111:02:01
mono4;NOUVEAUX PC COURTE DUREE;PC B CD n°10;Dell Latitude 3410;mercredi 15 septembre 2021 10:30:00 - 5 jour(s) et 22 heure(s) ;Cours;mercredi 15 septembre 202110:21:57
mono3;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;mardi 21 septembre 2021 16:00:00 - 2 heure(s) ;Cours;mardi 21 septembre 202115:56:46
mono9;Videoprojecteur;VP 01 ;Epson EBW29;mardi 21 septembre 2021 18:00:00 - 16 heure(s) ;Cours;mardi 21 septembre 202117:49:56
mono3;Videoprojecteur;VP 02;Epson EB-W29;mercredi 22 septembre 2021 14:00:00 - 3 heure(s) ;Cours;mercredi 22 septembre 202113:59:33
mono2;NOUVEAUX PC LONGUE DUREE;PC B LD n°1;Dell Latitude 3410;mercredi 01 septembre 2021 16:40:00 - 3 semaine(s), 1 heure(s) et 30 minute(s) ;Emprunt ;jeudi 02 septembre 202114:27:44
mono13;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;mercredi 22 septembre 2021 15:30:00 - 18 heure(s) et 30 minute(s) ;Emprunt ;mercredi 22 septembre 202115:46:20
mono6;Videoprojecteur;VP 01 ;Epson EBW29;jeudi 23 septembre 2021 08:30:00 - 1 heure(s) et 30 minute(s) ;Emprunt ;jeudi 23 septembre 202109:31:11
mono6;NOUVEAUX PC COURTE DUREE;PC B CD n°5;Dell Latitude 3410;jeudi 23 septembre 2021 09:30:00 - 2 heure(s) et 30 minute(s) ;Emprunt ;jeudi 23 septembre 202109:44:32
mono6;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;jeudi 23 septembre 2021 09:30:00 - 2 heure(s) et 30 minute(s) ;Emprunt ;jeudi 23 septembre 202109:44:49
mono10;Tablettes Ipad - Longue Durée;Ipad n°5;Ipad;jeudi 23 septembre 2021 11:00:00 - 1 jour(s) ;Emprunt ;jeudi 23 septembre 202110:45:25
mono10;Tablettes Ipad - Longue Durée;Ipad n°6;Ipad;jeudi 23 septembre 2021 11:00:00 - 1 jour(s) ;Emprunt ;jeudi 23 septembre 202110:45:38
mono11;NOUVEAUX PC COURTE DUREE;PC B CD n°9;Dell Latitude 3410;vendredi 17 septembre 2021 16:00:00 - 1 semaine(s) ;Emprunt ;vendredi 17 septembre 202116:04:05
mono12;Videoprojecteur;VP 02;Epson EB-W29;vendredi 24 septembre 2021 08:00:00 - 8 heure(s) ;Cours;vendredi 24 septembre 202108:17:18
mono2;Enregistreur Numerique;Tascam mini n°2 ;DR-05 -  Sans câble USB;vendredi 24 septembre 2021 11:00:00 - 6 heure(s) ;Emprunt ;lundi 13 septembre 202114:23:40
mono2;Enregistreur Numerique;Tascam mini n°3;DR-05;vendredi 24 septembre 2021 11:00:00 - 6 heure(s) ;Emprunt ;lundi 13 septembre 202114:25:23
mono2;Enregistreur Numerique;Tascam mini n°4 ;DR-05;vendredi 24 septembre 2021 11:00:00 - 6 heure(s) ;Emprunt ;lundi 13 septembre 202114:25:29
mono2;Enregistreur Numerique;Tascam mini n°5;DR-05;vendredi 24 septembre 2021 11:00:00 - 6 heure(s) ;Emprunt ;lundi 13 septembre 202114:25:35
mono2;Enregistreur Numerique;Tascam mini n°6;DR-05;vendredi 24 septembre 2021 11:00:00 - 6 heure(s) ;Emprunt ;lundi 13 septembre 202114:25:41
mono2;Enregistreur Numerique;Tascam mini n°7;Dr-05x;vendredi 24 septembre 2021 11:00:00 - 6 heure(s) ;Emprunt ;lundi 13 septembre 202114:25:50
mono2;Camescope;Camescope HD n°1;Panasonic HC-VXF1;vendredi 24 septembre 2021 11:00:00 - 6 heure(s) ;Emprunt ;lundi 13 septembre 202114:26:14
mono3;Videoprojecteur;VP 17 ;Epson EB-W29;mercredi 15 septembre 2021 11:30:00 - 1 semaine(s), 2 jour(s), 5 heure(s) et 30 minute(s) ;Maintenance;mercredi 15 septembre 202111:23:37
mono8;NOUVEAUX PC COURTE DUREE;PC B CD n°1 ;Dell Latitude 3410;lundi 20 septembre 2021 09:00:00 - 4 jour(s) et 8 heure(s) ;Cours;lundi 20 septembre 202108:59:00
mono12;Videoprojecteur;VP 01 ;Epson EBW29;vendredi 24 septembre 2021 08:00:00 - 10 heure(s) ;Emprunt ;vendredi 24 septembre 202108:04:41
mono12;Videoprojecteur;VP 04;Epson EB-W22;vendredi 24 septembre 2021 08:30:00 - 9 heure(s) et 30 minute(s) ;Emprunt ;vendredi 24 septembre 202108:26:24
mono11;Videoprojecteur;VP 01 ;Epson EBW29;lundi 27 septembre 2021 08:00:00 - 4 heure(s) ;Cours;lundi 27 septembre 202108:06:27
mono11;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;lundi 27 septembre 2021 11:00:00 - 1 heure(s) ;Cours;lundi 27 septembre 202110:48:25
mono6;NOUVEAUX PC COURTE DUREE;PC B CD n°6;Dell Latitude 3410;jeudi 16 septembre 2021 15:00:00 - 1 semaine(s) et 4 jour(s) ;Emprunt ;vendredi 24 septembre 202118:05:11
mono13;PC Courte Duree ;PC B CD 1;DELL Latitude E5580;mardi 28 septembre 2021 08:00:00 - 6 heure(s) ;Cours;mercredi 22 septembre 202114:14:18
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°1 ;Dell Latitude 3410;mardi 28 septembre 2021 08:00:00 - 6 heure(s) ;Cours;mardi 28 septembre 202107:55:42
mono6;Videoprojecteur;VP 03;Epson EB-W29;mardi 28 septembre 2021 11:30:00 - 5 heure(s) ;Emprunt ;mardi 12 octobre 202116:06:32
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°5;Dell Latitude 3410;mardi 28 septembre 2021 09:00:00 - 8 heure(s) et 30 minute(s) ;Emprunt ;mardi 28 septembre 202109:03:32
mono10;Videoprojecteur;VP 01 ;Epson EBW29;mardi 28 septembre 2021 14:00:00 - 22 heure(s) ;Cours;mardi 28 septembre 202114:33:39
mono14;Videoprojecteur;VP 01 ;Epson EBW29;jeudi 30 septembre 2021 08:00:00 - 4 heure(s) ;Cours;jeudi 30 septembre 202108:03:16
mono14;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;jeudi 30 septembre 2021 10:00:00 - 2 heure(s) ;Emprunt ;jeudi 30 septembre 202109:47:32
mono14;NOUVEAUX PC COURTE DUREE;PC B CD n°5;Dell Latitude 3410;jeudi 30 septembre 2021 10:30:00 - 1 heure(s) et 30 minute(s) ;Emprunt ;jeudi 30 septembre 202109:47:58
mono1;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;mercredi 29 septembre 2021 15:00:00 - 21 heure(s) et 30 minute(s) ;Cours;jeudi 23 septembre 202111:59:38
mono6;Videoprojecteur;VP 02;Epson EB-W29;jeudi 30 septembre 2021 09:00:00 - 8 heure(s) ;Emprunt ;jeudi 30 septembre 202109:03:15
mono14;NOUVEAUX PC COURTE DUREE;PC B CD n°1 ;Dell Latitude 3410;jeudi 30 septembre 2021 09:00:00 - 8 heure(s) ;Emprunt ;jeudi 30 septembre 202109:18:26
mono15;Videoprojecteur;VP 03;Epson EB-W29;jeudi 30 septembre 2021 16:30:00 - 1 heure(s) et 30 minute(s) ;Cours;jeudi 30 septembre 202116:12:59
mono6;NOUVEAUX PC COURTE DUREE;PC B CD n°4;Dell Latitude 3410;vendredi 01 octobre 2021 09:30:00 - 5 heure(s) ;Emprunt ;mardi 05 octobre 202117:12:15
mono7;NOUVEAUX PC COURTE DUREE;PC B CD n°3;DELL Latitude E5580;lundi 27 septembre 2021 14:00:00 - 1 semaine(s), 1 heure(s) et 30 minute(s) ;Emprunt ;lundi 27 septembre 202114:16:50
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°1 ;Dell Latitude 3410;mardi 05 octobre 2021 08:00:00 - 6 heure(s) ;Cours;mardi 05 octobre 202108:11:57
mono6;Videoprojecteur;VP 03;Epson EB-W29;mardi 05 octobre 2021 11:30:00 - 5 heure(s) ;Emprunt ;mardi 12 octobre 202116:06:32
mono11;Videoprojecteur;VP 03;Epson EB-W29;mercredi 06 octobre 2021 13:30:00 - 2 heure(s) et 30 minute(s) ;Cours;lundi 04 octobre 202114:26:01
mono13;Micro filaire;Micro n°1;;mercredi 06 octobre 2021 13:30:00 - 2 heure(s) et 30 minute(s) ;Emprunt ;mercredi 06 octobre 202114:07:30
mono3;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;mercredi 06 octobre 2021 13:30:00 - 2 heure(s) et 30 minute(s) ;Emprunt ;mercredi 06 octobre 202116:43:06
mono3;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;jeudi 07 octobre 2021 08:00:00 - 4 heure(s) ;Emprunt ;mercredi 06 octobre 202112:14:09
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°8;Dell Latitude 3410;jeudi 07 octobre 2021 10:30:00 - 3 heure(s) et 30 minute(s) ;Emprunt ;vendredi 08 octobre 202110:38:03
